   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      965    0.228    0.000    0.228    0.000 {method 'read' of '_io.BufferedReader' objects}
    99/97    0.152    0.002    0.155    0.002 {built-in method _imp.create_dynamic}
        1    0.080    0.080    0.080    0.080 {built-in method openbabel._openbabel.OBConversion_GetSupportedInputFormat}
      925    0.052    0.000    0.052    0.000 {built-in method io.open_code}
      925    0.046    0.000    0.046    0.000 {built-in method marshal.loads}
     1101    0.037    0.000    0.040    0.000 {built-in method io.open}
     4182    0.029    0.000    0.029    0.000 {built-in method posix.stat}
     3969    0.027    0.000    0.027    0.000 {built-in method builtins.compile}
   1354/1    0.021    0.000    1.348    1.348 {built-in method builtins.exec}
   241229    0.017    0.000    0.018    0.000 {built-in method builtins.isinstance}
        1    0.016    0.016    0.016    0.016 __init__.py:668(Misc)
1845/1820    0.014    0.000    0.097    0.000 {built-in method builtins.__build_class__}
        1    0.013    0.013    0.013    0.013 {built-in method openmm._openmm.Platform_loadPluginsFromDirectory}
      299    0.013    0.000    0.021    0.000 utils.py:686(<dictcomp>)
      646    0.012    0.000    0.109    0.000 typing.py:2288(get_type_hints)
19631/3868    0.011    0.000    0.053    0.000 typing.py:366(_eval_type)
     5057    0.011    0.000    0.024    0.000 typing.py:168(_type_check)
      453    0.010    0.000    0.011    0.000 _compiler.py:241(_optimize_charset)
   1124/7    0.009    0.000    1.346    0.192 <frozen importlib._bootstrap>:1165(_find_and_load)
    23376    0.009    0.000    0.012    0.000 utils.py:664(_skip_doctest)
    61110    0.009    0.000    0.010    0.000 {built-in method builtins.getattr}
     1545    0.009    0.000    0.054    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
  758/164    0.008    0.000    0.021    0.000 _parser.py:509(_parse)
    99/87    0.007    0.000    0.021    0.000 {built-in method _imp.exec_dynamic}
8683/1936    0.007    0.000    0.012    0.000 typing.py:2387(_strip_annotations)
    66283    0.006    0.000    0.006    0.000 {method 'startswith' of 'str' objects}
      517    0.006    0.000    0.010    0.000 registry.py:999(_parse_unit_name)
      288    0.006    0.000    0.007    0.000 {method 'read' of '_io.TextIOWrapper' objects}
    10585    0.006    0.000    0.016    0.000 __init__.py:163(match)
     1074    0.006    0.000    0.072    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
      141    0.005    0.000    0.005    0.000 {built-in method posix.listdir}
     2461    0.005    0.000    0.007    0.000 inspect.py:2686(__init__)
     1485    0.005    0.000    0.005    0.000 {built-in method openbabel._openbabel.SWIG_PyInstanceMethod_New}
     3928    0.005    0.000    0.012    0.000 {built-in method builtins.eval}
